name,status

crawdaddy,failed scrape
dale-s-absolutely-guaranteed-aphrodisiac,failed scrape
flamingo,failed scrape
head-spin,failed scrape
madison-avenue-cocktail,failed scrape
malibu-bay-breeze,failed scrape
paris,failed scrape
pimm-s-cup,failed scrape
pineapple-julep-ii,failed scrape
shandygaff,failed scrape
smoky-martini,failed scrape
swizzle,failed scrape
the-dorothy,failed scrape
trinidad,failed scrape
vaccari,failed scrape

caprice,import issue
caribbean-bulldog,import issue
caribbean-shrub,import issue
caribe-cosmopolitan,import issue
cavalier,import issue
celine-fizz,import issue
champagne-cobbler,import issue
champagne-cocktail,import issue
charleston-cocktail,import issue
charlie-chaplin-cocktail,import issue
cherry-blossom,import issue
cherry-crush,import issue
chinese-fizz,import issue
chocolate-punch,import issue
cider-house-rules,import issue
cinder,import issue
cinnamon-girl,import issue
claremont,import issue
cloister,import issue
clover-leaf,import issue
coco-berry,import issue
coco-s-punch,import issue
coconut-colada,import issue
coda,import issue
coffee-nudge,import issue
colony-room-cocktail,import issue
condiment-cocktail,import issue
conquistador,import issue
cooper-union,import issue
cooperstown,import issue
cosmalize,import issue
cosmopolitan,import issue
cosmopolitan-delight,import issue
cranberry-cobbler,import issue
crane-kick,import issue
crimson-tide,import issue
cuba-libre,import issue
cupid-s-cocktail,import issue
cure-for-pain,import issue
cynaro-de-bergerac,import issue
d-artagnan,import issue
dai-dai-my-darling,import issue
dale-s-julep,import issue
dale-s-ultimate-mango-rita,import issue
danish-mary,import issue
dark-and-stormy,import issue
dark-and-stormy-ii,import issue
de-la-louisiane,import issue
death-from-above,import issue
debonaire-cocktail,import issue
derby-cocktail,import issue
derby-girl,import issue
desert-healer,import issue
deshler,import issue
deshler-cocktail,import issue
devil-inside,import issue
di-saronno-punch,import issue
dirty-gin-martini,import issue
dirty-mother,import issue
dirty-texas-tea,import issue
dirty-vodka-martini,import issue
dirty-white-mother,import issue
doc-daneeka-royale,import issue
doc-s-dram,import issue
dolly-dagger,import issue
dolores-park-swizzle,import issue
don-t-sit-under-the-apple-tree,import issue
donizetti,import issue
double-barrel-julep,import issue
double-fill-up,import issue
douglas-fairbanks,import issue
dreamy-dorini-smoky-martini,import issue
drunken-skull,import issue
dry-county-cocktail,import issue
dubliner,import issue
dubonnet-cocktail,import issue
duboudreau-cocktail,import issue
dulce-de-leche,import issue
eagle-eye-cherry,import issue
east-india-cocktail,import issue
east-india-trading-co,import issue
el-companero,import issue
el-puente,import issue
electric-iced-tea,import issue
embassy-cocktail,import issue
english-bishop,import issue
ephemeral,import issue
eryn-s-daiquiri,import issue
espadin-queen,import issue
espresso-bongo,import issue
espresso-cocktail,import issue
fancy-brandy-cocktail,import issue
fancy-gin-cocktail,import issue
flame-of-love,import issue
flirtini,import issue
fog-cutter,import issue
four-in-hand,import issue
frankfort-rose,import issue
freddie-fudpucker,import issue
french-maid,import issue
fresa-brava,import issue
fresa-verde,import issue
frisco,import issue
frozen-banana-daiquiri,import issue
frozen-barcelona,import issue
frozen-blue-hawaiian,import issue
frozen-margarita,import issue
frozen-passion-margarita,import issue
frozen-strawberry-daiquiri,import issue
fuzzy-navel,import issue
get-lucky,import issue
gilchrist,import issue
gin-and-it,import issue
gin-and-sin,import issue
gin-gin-mule,import issue
gin-tonic,import issue
ginger-snap,import issue
golden-cadillac,import issue
golden-dawn,import issue
golden-fizz,import issue
golden-star-fizz,import issue
good-humor,import issue
grasshopper,import issue
great-pumpkin,import issue
green-and-red,import issue
green-deacon,import issue
green-flash,import issue
greenpoint,import issue
grouse-rampant,import issue
gypsy-wedding,import issue
hadley-s-tears,import issue
hallyday,import issue
hanky-panky-3deb1074-49ce-4bc9-827c-f99b0d17e74c,import issue
harry-s-cocktail,import issue
harry-s-harveys-punch,import issue
harvest-sling,import issue
harvey-wallbanger,import issue
hawaiian-stone-sour,import issue
headstone,import issue
heart-shaped-box,import issue
hemingway-daiquiri-papa-doble,import issue
hispaniola,import issue
hoi-polloi,import issue
honeymoon-cocktail,import issue
honeysuckle,import issue
honolulu-cocktail,import issue
horse-s-neck,import issue
hostage-situation,import issue
hot-shot,import issue
hot-toddy,import issue
hotel-nacional-special,import issue
hummer,import issue
hurricane,import issue
hyde-park-swizzle,import issue
ice-house-highball,import issue
imperial-blueberry-fizz,import issue
imperial-silver-corn-fizz,import issue
improved-whiskey-cocktail,import issue
independence-day-punch,import issue
international-stinger,import issue
irish-coconut,import issue
island-breeze,import issue
island-rose,import issue
jacana,import issue
japanese-cobbler,import issue
japanese-cocktail,import issue
japanese-courage,import issue
japanese-fizz,import issue
jarnac-shrub,import issue
jelly-roll-morton,import issue
jerry-thomas-s-apple-toddy,import issue
jesper-lind,import issue
jillian-s-daiquiri,import issue
jimmie-roosevelt,import issue
joaquin-s-daiquiri,import issue
johnny-apple-collins,import issue
judgment-day,import issue
jump-shot,import issue
junior,import issue
just-another-julep,import issue
kamikazi,import issue
kansai-kick,import issue
kew-gardens-cooler,import issue
kin-kan,import issue
kingston-negroni,import issue
kir,import issue
knickerbein-cocktail,import issue
knickerbocker,import issue
knickerbocker-martini,import issue
koko-b-ware,import issue
koyo,import issue
l-e-s-globetrotter,import issue
la-bomba-daiquiri,import issue
la-florida-cocktail,import issue
la-perla,import issue
la-valentina,import issue
lacrimosa,import issue
last-train-to-oaxaca,import issue
latin-love,import issue
lawn-dart,import issue
le-pere-bis,import issue
le-perroquet,import issue
leapfrog,import issue
left-hand-cocktail,import issue
leo-special,import issue
leprechaun-s-delight,import issue
linbaba-daiquiri,import issue
lion-s-tooth,import issue
little-bit-country,import issue
little-engine,import issue
lizzy-sour,import issue
london-iced-tea,import issue
long-island-iced-tea,import issue
los-angeles-cocktail,import issue
luau,import issue
lucky-double,import issue
lust-for-life,import issue
macarena-mist,import issue
maggie-smith,import issue
mainland,import issue
man-o-war,import issue
mandrin-cherry-smash,import issue
maragato,import issue
marlene-dietrich,import issue
martinez-cocktail-original,import issue
martini-cocktail,import issue
master-cleanse,import issue
may-daisy,import issue
melancholy-summer,import issue
melon-daiquiri,import issue
melon-lime-daiquiri,import issue
melon-martini,import issue
meloncholy-baby,import issue
meridian-daiquiri,import issue
merry-widow,import issue
mexi-gin-martini,import issue
mexican-blonde,import issue
mexicano,import issue
mezcal-mule,import issue
miami-iced-tea,import issue
michelada,import issue
midnight-express,import issue
millennium-cocktail,import issue
mint-apple-crisp,import issue
mint-julep,import issue
mojito,import issue
monkey-gland,import issue
monongahela-mule,import issue
morango-fizz,import issue
morning-buzz,import issue
mud-slide,import issue
muddled-mission,import issue
navy-grog,import issue
new-orleans-cocktail,import issue
newfangled,import issue
night-owl,import issue
night-watch,import issue
nigori-milk-punch,import issue
nitty-gritty,import issue
noce-royale,import issue
norman-inversion,import issue
north-garden,import issue
noval-cup,import issue
old-flame,import issue
op-smash,import issue
orgasm,import issue
over-and-out,import issue
overhead-smash,import issue
paddington,import issue
paloma,import issue
paradise-cocktail,import issue
parisian-blond-cocktail,import issue
park-life-swizzle,import issue
parkside-fizz,import issue
passion-margarita,import issue
paul-s-club-cocktail,import issue
peach-brandy-julep,import issue
peach-melissa,import issue
peachy-pachacuti,import issue
pegu-cocktail,import issue
pelee-s-blood,import issue
pendennis-club-cocktail,import issue
persephone,import issue
pete-s-word,import issue
phil-s-daiquiri,import issue
pica-cocktail,import issue
picon-punch,import issue
picon-punch-ii,import issue
pilgrim-cocktail,import issue
pimms-cup,import issue
pina-colada,import issue
pinche-chivo,import issue
pineapple-julep,import issue
pink-flag,import issue
pink-gin,import issue
pisco-sour,import issue
planter-s-punch,import issue
platanos-en-mole-old-fashioned,import issue
poire-man-s-cobbler,import issue
pomegranate-martini,import issue
port-authority,import issue
port-cobbler,import issue
pousse-cafe,import issue
prairie-oyster,import issue
presidente,import issue
pretty-bird,import issue
primavera,import issue
prince-of-wales,import issue
professor,import issue
pumpkin-toddy,import issue
punch-and-plain,import issue
queen-s-park-swizzle,import issue
queens-park-swizzle,import issue
racketeer-julep,import issue
radio-days,import issue
rainbow-julep,import issue
rainbow-punch,import issue
rainbow-sour,import issue
raisin-burn,import issue
ramble,import issue
ramos-gin-fizz,import issue
rapscallion,import issue
rattlesnake,import issue
ravi-s-daiquiri,import issue
rebel-rebel,import issue
red-lion,import issue
red-snapper,import issue
resting-point,import issue
rhum-club,import issue
ricard-tomate,import issue
rio-bravo,import issue
rising-sun,import issue
rite-of-spring,import issue
roasted-almond,import issue
rock-paper-scissors,import issue
romeo-y-julieta,import issue
rosarita,import issue
rosarita-highball,import issue
rosita,import issue
rosy-martini,import issue
royal-bermuda-yacht-club-cocktail,import issue
royal-cocktail,import issue
royal-fizz,import issue
rum-julep,import issue
rum-runner,import issue
rum-swizzle,import issue
rust-belt,import issue
rye-club-cocktail,import issue
rye-witch,import issue
sade-s-taboo,import issue
sage-old-buck,import issue
sake-tini,import issue
salty-dog,import issue
san-salvador,import issue
saratoga-cocktail,import issue
satan-s-whiskers,import issue
saturday-morning-flip,import issue
sazerac,import issue
scorpino,import issue
scorpion,import issue
scotch-lady,import issue
screaming-orgasm,import issue
seersucker,import issue
sevilla,import issue
sex-on-the-beach,import issue
sherry-cobbler,import issue
shiso-delicious,import issue
shiso-malt-sour,import issue
shoots-and-ladders,import issue
shruff-s-end,import issue
sidewinder,import issue
silver-lining,import issue
silver-monk,import issue
silver-root-beer-fizz,import issue
silver-sangaree,import issue
singapore-sling,import issue
single-malt-sangaree,import issue
slap-n-pickle,import issue
sleepy-hollow-fizz,import issue
sloe-gin-fizz,import issue
smith-and-kearns,import issue
smoky-grove,import issue
snake-hips-swizzle,import issue
soho-martini,import issue
solstice,import issue
soul-clench,import issue
sour-apple-martini,import issue
south-beach,import issue
south-coast-cocktail,import issue
south-side,import issue
south-slope,import issue
southern-exposure,import issue
southside,import issue
sparkling-hunt-punch,import issue
spicy-paloma,import issue
st-matilda,import issue
st-rita,import issue
steeplechase,import issue
stilletto,import issue
stinger,import issue
stone-fence,import issue
strange-brew,import issue
straw-dog,import issue
strawberry-cosmopolitan,import issue
stringer-bell,import issue
suffering-bastard,import issue
sunset-breeze,import issue
sunset-gun,import issue
swearengen-sling,import issue
sweet-and-vicious,import issue
swiss-mist,import issue
take-two,import issue
talbott-leaf,import issue
tea-in-the-sahara,import issue
tequila-sunrise,import issue
terrible-love,import issue
texas-tea,import issue
the-bittenbender,import issue
the-commandant,import issue
the-gift-shop,import issue
the-great-pretender,import issue
the-green-mile,import issue
the-risk-pool,import issue
thomas-s-daiquiri,import issue
ti-punch-05f05da3-4d02-437f-8486-59d3ec3e7add,import issue
tipperary-cocktail,import issue
toasted-almond,import issue
traditional-grog-cold,import issue
traditional-grog-hot,import issue
tropical-cocktail,import issue
tropical-highball,import issue
tropical-whiskey-punch,import issue
ty-cobbler,import issue
valencia,import issue
valencia-ii,import issue
vampire-blues,import issue
vauvert-slim,import issue
velvet-club,import issue
vendome,import issue
vermouth-cassis,import issue
waldorf,import issue
warehouse-c,import issue
waterloo-sunset,import issue
wellington-fizz,import issue
whiskey-cobbler,import issue
whiskey-daisy,import issue
whiskey-peach-smash,import issue
whiskey-plush,import issue
whiskey-smash,import issue
whiskey-sour,import issue
white-bat,import issue
white-birch-fizz,import issue
white-negroni,import issue
white-tiger-s-milk,import issue
winston-martini,import issue
woolworth,import issue
wrong-aisle,import issue
yama-blanca,import issue
yellow-bird,import issue
zihuatanejo-julep,import issue
zombie,import issue
zombie-punch,import issue